station,target,RMSE,MAE,R2,test_amount
臺大電機二館東南側,return_count,4.831173043201257,3.105058783673606,0.6363183800951098,2160
臺大電機二館東南側,net_borrow,3.8437050558406094,2.3876002026539154,0.07419662283053208,2160
臺大鹿鳴堂東側,borrow_count,10.692869405004231,6.720103877385257,0.6003195351230318,2136
臺大鹿鳴堂東側,return_count,7.3873674146429575,4.565876733962824,0.6534731860118383,2136
臺大鹿鳴堂東側,net_borrow,8.164688836734308,4.931884382760582,0.2282627439076632,2136
臺大黑森林西側,borrow_count,8.217643616881281,5.316823120628694,0.6045936428586186,2184
臺大黑森林西側,return_count,8.03558004794258,5.357551474725312,0.5649123682694508,2184
臺大黑森林西側,net_borrow,6.33891426678126,3.9773303499571844,0.12344012277876515,2184
臺灣科技大學側門,borrow_count,19.85214518690466,12.68489943323481,0.5979896185693876,2136
臺灣科技大學側門,return_count,15.306129879851847,10.460058942783274,0.6462555141869244,2136
臺灣科技大學側門,net_borrow,18.05925581482344,11.193155937898087,0.37424161835391356,2136
臺灣科技大學正門,borrow_count,7.496808805188501,4.526729278859148,0.4602003204466264,2160
臺灣科技大學正門,return_count,5.183142563593555,3.4702957217956305,0.5652130834654117,2160
臺灣科技大學正門,net_borrow,7.542226586039141,4.665305461112925,0.3322931251112843,2160
辛亥復興路口西北側,borrow_count,8.567051272481065,5.700376048663894,0.656360672987971,2136
辛亥復興路口西北側,return_count,8.308270120114845,5.728828680208168,0.6446291595318843,2136
辛亥復興路口西北側,net_borrow,3.900033285700171,2.6662609110728868,0.018795142485025007,2136
辛亥新生路口東南側,borrow_count,5.8520107503548,4.119422087718518,0.31361365328681035,2160
辛亥新生路口東南側,return_count,5.107476241562863,3.6017560283643753,0.4091166682023222,2160
辛亥新生路口東南側,net_borrow,5.234376283574025,3.4719145430210783,0.11280054565823605,2160
銘傳國小側門,borrow_count,4.822142727913201,3.392560881534681,0.5555911783415513,2136
銘傳國小側門,return_count,4.644609625445867,3.2223831759899806,0.57408319947312,2136
銘傳國小側門,net_borrow,2.156134655503913,1.5010817178117344,0.038849579630277686,2136
