station,target,R2_12m,RMSE_12m,MAE_12m,test_n,model_path
臺大法人語言訓練中心前,return_count,0.6292708432086929,3.704065085349428,2.395770882348027,743,models/model_臺大法人語言訓練中心前_return_count.rds
臺大法人語言訓練中心前,net_borrow,0.3707907662309379,5.306479434804331,3.237693630031931,743,models/model_臺大法人語言訓練中心前_net_borrow.rds
臺大獸醫館南側,borrow_count,0.5892827382299434,5.1369942924354,3.2409602876616477,743,models/model_臺大獸醫館南側_borrow_count.rds
臺大獸醫館南側,return_count,0.6629196411415594,4.1430995950189535,2.4899613266916822,743,models/model_臺大獸醫館南側_return_count.rds
臺大獸醫館南側,net_borrow,0.3890341086793525,5.6039447979446955,3.4564151488231967,743,models/model_臺大獸醫館南側_net_borrow.rds
臺大生命科學館西北側,borrow_count,0.5755179335462925,5.105953537373152,3.5478318768761814,743,models/model_臺大生命科學館西北側_borrow_count.rds
臺大生命科學館西北側,return_count,0.6671363796945979,4.344239499040642,2.6888582062270583,743,models/model_臺大生命科學館西北側_return_count.rds
臺大生命科學館西北側,net_borrow,0.15067477015014297,4.855612169763037,3.2073926718807377,743,models/model_臺大生命科學館西北側_net_borrow.rds
臺大男一舍前,borrow_count,0.6263411320754999,10.451084526092723,7.750540925767285,743,models/model_臺大男一舍前_borrow_count.rds
臺大男一舍前,return_count,0.573659866881018,10.806411648197061,8.09035771143182,743,models/model_臺大男一舍前_return_count.rds
臺大男一舍前,net_borrow,0.3125699371889491,9.053405377120965,6.698013870707312,743,models/model_臺大男一舍前_net_borrow.rds
臺大男七舍前,borrow_count,0.6644996252848397,3.981562411886582,2.943200597272965,743,models/model_臺大男七舍前_borrow_count.rds
臺大男七舍前,return_count,0.48058907009114615,4.725799265093691,3.6285572351712196,743,models/model_臺大男七舍前_return_count.rds
臺大男七舍前,net_borrow,0.12355995350601556,4.31295300054278,3.184576489657573,743,models/model_臺大男七舍前_net_borrow.rds
臺大男八舍東側,borrow_count,0.4751396402405744,5.7452462272585185,4.343210644181563,743,models/model_臺大男八舍東側_borrow_count.rds
臺大男八舍東側,return_count,0.47948404424598046,5.995276749657306,4.538874261590489,743,models/model_臺大男八舍東側_return_count.rds
臺大男八舍東側,net_borrow,0.42702724549087434,5.217661811065521,3.6364318155839346,743,models/model_臺大男八舍東側_net_borrow.rds
臺大男六舍前,borrow_count,0.42283128271929193,6.331063184268366,4.00563051710209,743,models/model_臺大男六舍前_borrow_count.rds
臺大男六舍前,return_count,0.06793194920679524,8.060078205231362,6.221183169035552,743,models/model_臺大男六舍前_return_count.rds
